,Datetime,Adj Close,Close,High,Low,Open,Volume
0,2024-09-30 04:00:00+00:00,,,,,,
1,2024-09-30 04:01:00+00:00,,,,,,
2,2024-09-30 04:02:00+00:00,,,,,,
3,2024-09-30 04:03:00+00:00,,,,,,
4,2024-09-30 04:04:00+00:00,,,,,,
5,2024-09-30 04:05:00+00:00,,,,,,
6,2024-09-30 04:06:00+00:00,,,,,,
7,2024-09-30 04:07:00+00:00,,,,,,
8,2024-09-30 04:08:00+00:00,,,,,,
9,2024-09-30 04:09:00+00:00,,,,,,
10,2024-09-30 04:10:00+00:00,,,,,,
11,2024-09-30 04:11:00+00:00,,,,,,
12,2024-09-30 04:12:00+00:00,,,,,,
13,2024-09-30 04:13:00+00:00,,,,,,
14,2024-09-30 04:14:00+00:00,,,,,,
15,2024-09-30 04:15:00+00:00,,,,,,
16,2024-09-30 04:16:00+00:00,,,,,,
17,2024-09-30 04:17:00+00:00,,,,,,
18,2024-09-30 04:18:00+00:00,,,,,,
19,2024-09-30 04:19:00+00:00,,,,,,
20,2024-09-30 04:20:00+00:00,,,,,,
21,2024-09-30 04:21:00+00:00,,,,,,
22,2024-09-30 04:22:00+00:00,,,,,,
23,2024-09-30 04:23:00+00:00,,,,,,
24,2024-09-30 04:24:00+00:00,,,,,,
25,2024-09-30 04:25:00+00:00,,,,,,
26,2024-09-30 04:26:00+00:00,,,,,,
27,2024-09-30 04:27:00+00:00,,,,,,
28,2024-09-30 04:28:00+00:00,,,,,,
29,2024-09-30 04:29:00+00:00,,,,,,
30,2024-09-30 04:30:00+00:00,,,,,,
31,2024-09-30 04:31:00+00:00,,,,,,
32,2024-09-30 04:32:00+00:00,,,,,,
33,2024-09-30 04:33:00+00:00,,,,,,
34,2024-09-30 04:34:00+00:00,,,,,,
35,2024-09-30 04:35:00+00:00,,,,,,
36,2024-09-30 04:36:00+00:00,,,,,,
37,2024-09-30 04:37:00+00:00,,,,,,
38,2024-09-30 04:38:00+00:00,,,,,,
39,2024-09-30 04:39:00+00:00,,,,,,
40,2024-09-30 04:40:00+00:00,,,,,,
41,2024-09-30 04:41:00+00:00,,,,,,
42,2024-09-30 04:42:00+00:00,,,,,,
43,2024-09-30 04:43:00+00:00,,,,,,
44,2024-09-30 04:44:00+00:00,,,,,,
45,2024-09-30 04:45:00+00:00,,,,,,
46,2024-09-30 04:46:00+00:00,,,,,,
47,2024-09-30 04:47:00+00:00,,,,,,
48,2024-09-30 04:48:00+00:00,,,,,,
49,2024-09-30 04:49:00+00:00,,,,,,
50,2024-09-30 04:50:00+00:00,,,,,,
51,2024-09-30 04:51:00+00:00,,,,,,
52,2024-09-30 04:52:00+00:00,,,,,,
53,2024-09-30 04:53:00+00:00,,,,,,
54,2024-09-30 04:54:00+00:00,,,,,,
55,2024-09-30 04:55:00+00:00,,,,,,
56,2024-09-30 04:56:00+00:00,,,,,,
57,2024-09-30 04:57:00+00:00,,,,,,
58,2024-09-30 04:58:00+00:00,,,,,,
59,2024-09-30 04:59:00+00:00,,,,,,
60,2024-09-30 05:00:00+00:00,,,,,,
61,2024-09-30 05:01:00+00:00,,,,,,
62,2024-09-30 05:02:00+00:00,,,,,,
63,2024-09-30 05:03:00+00:00,,,,,,
64,2024-09-30 05:04:00+00:00,,,,,,
65,2024-09-30 05:05:00+00:00,,,,,,
66,2024-09-30 05:06:00+00:00,,,,,,
67,2024-09-30 05:07:00+00:00,,,,,,
68,2024-09-30 05:08:00+00:00,,,,,,
69,2024-09-30 05:09:00+00:00,,,,,,
70,2024-09-30 05:10:00+00:00,,,,,,
71,2024-09-30 05:11:00+00:00,,,,,,
72,2024-09-30 05:12:00+00:00,,,,,,
73,2024-09-30 05:13:00+00:00,,,,,,
74,2024-09-30 05:14:00+00:00,,,,,,
75,2024-09-30 05:15:00+00:00,,,,,,
76,2024-09-30 05:16:00+00:00,,,,,,
77,2024-09-30 05:17:00+00:00,,,,,,
78,2024-09-30 05:18:00+00:00,,,,,,
79,2024-09-30 05:19:00+00:00,,,,,,
80,2024-09-30 05:20:00+00:00,,,,,,
81,2024-09-30 05:21:00+00:00,,,,,,
82,2024-09-30 05:22:00+00:00,,,,,,
83,2024-09-30 05:23:00+00:00,,,,,,
84,2024-09-30 05:24:00+00:00,,,,,,
85,2024-09-30 05:25:00+00:00,,,,,,
86,2024-09-30 05:26:00+00:00,,,,,,
87,2024-09-30 05:27:00+00:00,,,,,,
88,2024-09-30 05:28:00+00:00,,,,,,
89,2024-09-30 05:29:00+00:00,,,,,,
90,2024-09-30 05:30:00+00:00,,,,,,
91,2024-09-30 05:31:00+00:00,,,,,,
92,2024-09-30 05:32:00+00:00,,,,,,
93,2024-09-30 05:33:00+00:00,,,,,,
94,2024-09-30 05:34:00+00:00,,,,,,
95,2024-09-30 05:35:00+00:00,,,,,,
96,2024-09-30 05:36:00+00:00,,,,,,
97,2024-09-30 05:37:00+00:00,,,,,,
98,2024-09-30 05:38:00+00:00,,,,,,
99,2024-09-30 05:39:00+00:00,,,,,,
100,2024-09-30 05:40:00+00:00,,,,,,
101,2024-09-30 05:41:00+00:00,,,,,,
102,2024-09-30 05:42:00+00:00,,,,,,
103,2024-09-30 05:43:00+00:00,,,,,,
104,2024-09-30 05:44:00+00:00,,,,,,
105,2024-09-30 05:45:00+00:00,,,,,,
106,2024-09-30 05:46:00+00:00,,,,,,
107,2024-09-30 05:47:00+00:00,,,,,,
108,2024-09-30 05:48:00+00:00,,,,,,
109,2024-09-30 05:49:00+00:00,,,,,,
110,2024-09-30 05:50:00+00:00,,,,,,
111,2024-09-30 05:51:00+00:00,,,,,,
112,2024-09-30 05:52:00+00:00,,,,,,
113,2024-09-30 05:53:00+00:00,,,,,,
114,2024-09-30 05:54:00+00:00,,,,,,
115,2024-09-30 05:55:00+00:00,,,,,,
116,2024-09-30 05:56:00+00:00,,,,,,
117,2024-09-30 05:57:00+00:00,,,,,,
118,2024-09-30 05:58:00+00:00,,,,,,
119,2024-09-30 05:59:00+00:00,,,,,,
120,2024-09-30 06:00:00+00:00,,,,,,
121,2024-09-30 06:01:00+00:00,,,,,,
122,2024-09-30 06:02:00+00:00,,,,,,
123,2024-09-30 06:03:00+00:00,,,,,,
124,2024-09-30 06:04:00+00:00,,,,,,
125,2024-09-30 06:05:00+00:00,,,,,,
126,2024-09-30 06:06:00+00:00,,,,,,
127,2024-09-30 06:07:00+00:00,,,,,,
128,2024-09-30 06:08:00+00:00,,,,,,
129,2024-09-30 06:09:00+00:00,,,,,,
130,2024-09-30 06:10:00+00:00,,,,,,
131,2024-09-30 06:11:00+00:00,,,,,,
132,2024-09-30 06:12:00+00:00,,,,,,
133,2024-09-30 06:13:00+00:00,,,,,,
134,2024-09-30 06:14:00+00:00,,,,,,
135,2024-09-30 06:15:00+00:00,,,,,,
136,2024-09-30 06:16:00+00:00,,,,,,
137,2024-09-30 06:17:00+00:00,,,,,,
138,2024-09-30 06:18:00+00:00,,,,,,
139,2024-09-30 06:19:00+00:00,,,,,,
140,2024-09-30 06:20:00+00:00,,,,,,
141,2024-09-30 06:21:00+00:00,,,,,,
142,2024-09-30 06:22:00+00:00,,,,,,
143,2024-09-30 06:23:00+00:00,,,,,,
144,2024-09-30 06:24:00+00:00,,,,,,
145,2024-09-30 06:25:00+00:00,,,,,,
146,2024-09-30 06:26:00+00:00,,,,,,
147,2024-09-30 06:27:00+00:00,,,,,,
148,2024-09-30 06:28:00+00:00,,,,,,
149,2024-09-30 06:29:00+00:00,,,,,,
150,2024-09-30 06:30:00+00:00,,,,,,
151,2024-09-30 06:31:00+00:00,,,,,,
152,2024-09-30 06:32:00+00:00,,,,,,
153,2024-09-30 06:33:00+00:00,,,,,,
154,2024-09-30 06:34:00+00:00,,,,,,
155,2024-09-30 06:35:00+00:00,,,,,,
156,2024-09-30 06:36:00+00:00,,,,,,
157,2024-09-30 06:37:00+00:00,,,,,,
158,2024-09-30 06:38:00+00:00,,,,,,
159,2024-09-30 06:39:00+00:00,,,,,,
160,2024-09-30 06:40:00+00:00,,,,,,
161,2024-09-30 06:41:00+00:00,,,,,,
162,2024-09-30 06:42:00+00:00,,,,,,
163,2024-09-30 06:43:00+00:00,,,,,,
164,2024-09-30 06:44:00+00:00,,,,,,
165,2024-09-30 06:45:00+00:00,,,,,,
166,2024-09-30 06:46:00+00:00,,,,,,
167,2024-09-30 06:47:00+00:00,,,,,,
168,2024-09-30 06:48:00+00:00,,,,,,
169,2024-09-30 06:49:00+00:00,,,,,,
170,2024-09-30 06:50:00+00:00,,,,,,
171,2024-09-30 06:51:00+00:00,,,,,,
172,2024-09-30 06:53:00+00:00,,,,,,
173,2024-09-30 06:54:00+00:00,,,,,,
174,2024-09-30 06:55:00+00:00,,,,,,
175,2024-09-30 06:56:00+00:00,,,,,,
176,2024-09-30 06:57:00+00:00,,,,,,
177,2024-09-30 06:58:00+00:00,,,,,,
178,2024-09-30 06:59:00+00:00,,,,,,
